time,front_x
0.025,0.00075
0.05,0.00075
0.075,0.00075
0.1,0.00075
0.125,0.00075
0.15,0.00075
0.175,0.00075
0.2,0.00075
0.225,0.00075
0.25,0.00075
0.275,0.00075
0.3,0.00075
0.325,0.00075
0.35,0.00075
0.025,0.02725
0.05,0.02725
0.075,0.02725
0.1,0.02725
0.125,0.02725
0.15,0.02725
0.175,0.02775
0.2,0.02775
0.225,0.02775
0.25,0.02775
0.275,0.02775
0.3,0.02775
0.325,0.02775
0.35,0.02775
0.375,0.02775
0.4,0.02775
0.425,0.02775
0.45,0.02775
0.475,0.02775
0.5,0.02775
0.525,0.02775
0.55,0.02775
0.575,0.02775
0.6,0.02775
0.625,0.02775
0.65,0.02775
0.675,0.02775
0.7,0.02775
0.725,0.02775
0.75,0.02775
0.775,0.02775
0.8,0.02775
0.825,0.02775
0.85,0.02775
0.875,0.02775
0.9,0.02775
0.925,0.02775
0.95,0.02775
0.975,0.02775
1,0.02775
1.025,0.02775
1.05,0.02775
1.075,0.02775
1.1,0.02775
1.125,0.02775
1.15,0.02775
1.175,0.02775
1.2,0.02775
1.225,0.02775
1.25,0.02775
1.275,0.02775
1.3,0.02775
1.325,0.02775
1.35,0.02775
1.375,0.02775
1.4,0.02775
1.425,0.02775
1.45,0.02775
1.475,0.02775
1.5,0.02775
1.525,0.02775
1.55,0.02775
1.575,0.02775
1.6,0.02775
1.625,0.02775
1.65,0.02775
1.675,0.02775
1.7,0.02775
1.725,0.02775
1.75,0.02775
1.775,0.02775
1.8,0.02775
1.825,0.02775
1.85,0.02775
1.875,0.02775
1.9,0.02775
1.925,0.02775
1.95,0.02775
1.975,0.02775
2,0.02775
2.025,0.02775
2.05,0.02775
2.075,0.02775
2.1,0.02775
2.125,0.02775
2.15,0.02775
2.175,0.02775
2.2,0.02775
2.225,0.02775
2.25,0.02775
2.275,0.02775
2.3,0.02775
2.325,0.02775
2.35,0.02775
2.375,0.02775
2.4,0.02775
2.425,0.02775
2.45,0.02775
2.475,0.02775
2.5,0.02775
2.525,0.02775
2.55,0.02775
2.575,0.02775
2.6,0.02775
2.625,0.02775
2.65,0.02775
2.675,0.02775
2.7,0.02775
2.725,0.02775
2.75,0.02775
2.775,0.02775
2.8,0.02775
2.825,0.02775
2.85,0.02775
2.875,0.02775
2.9,0.02775
2.925,0.02775
2.95,0.02775
2.975,0.02775
3,0.02775
3.025,0.02775
3.05,0.02775
3.075,0.02775
3.1,0.02775
3.125,0.02775
3.15,0.02775
3.175,0.02775
3.2,0.02775
3.225,0.02775
3.25,0.02775
3.275,0.02775
3.3,0.02775
3.325,0.02775
3.35,0.02775
3.375,0.02775
3.4,0.02775
3.425,0.02775
3.45,0.02775
3.475,0.02775
3.5,0.02775
3.525,0.02775
3.55,0.02775
3.575,0.02775
3.6,0.02775
